Date,Sector,Post,Tank Capacity,Reported Stock,Available Storage Space,Avg Daily Consumption,Days of Supply
"May 24, 2025",Western Section,C Gate Central Heating,,,0,0,0
"May 24, 2025",Southern Section,POS68,,,0,0,0
"May 24, 2025",Southern Section,POS80 GEN,,,0,0,0
"May 24, 2025",Southern Section,POS80 Fuel Station,,,0,0,0
"May 24, 2025",Southern Section,POS85,,,0,0,0
"May 24, 2025",Southern Section,POS86B,,,0,0,0
"May 24, 2025",UNDOF Vehicle Registration,2085,,,0,0,0
"May 24, 2025",UNDOF Vehicle Registration,2086,,,0,0,0
"May 24, 2025",UNDOF Vehicle Registration,2087,,,0,0,0
"May 24, 2025",UNDOF Vehicle Registration,4661,,,0,0,0
"May 24, 2025",UNDOF Vehicle Registration,4662,,,0,0,0
"May 24, 2025",UNDOF Vehicle Registration,4663,,,0,0,0
"May 24, 2025",UNDOF Vehicle Registration,4664,,,0,0,0
"May 24, 2025",UNDOF Vehicle Registration,4665,,,0,0,0
"May 25, 2025",Camp Faouar,CF Gen,,,0,0,0
"May 25, 2025",Camp Faouar,CF Fuel Station,,,0,0,0
"May 25, 2025",Camp Faouar,CF Supply Food Storage GEN (Backup) ,,,0,0,0
"May 25, 2025",Camp Faouar,CF JOC GEN (Backup) ,,,0,0,0
"May 25, 2025",Camp Faouar,CF CITS/Hospital GEN (Backup) ,,,0,0,0
"May 25, 2025",Camp Faouar,CF Pentagon GEN (Backup) ,,,0,0,0
"May 25, 2025",Camp Faouar,CF IK Kitchen GEN (Backup) ,,,0,0,0
"May 25, 2025",Camp Faouar,Reserve VDP,,,0,0,0
"May 25, 2025",ROD,ROD Fuel Station,,,0,0,0
"May 25, 2025",ROD,ROD Generator,,,0,0,0
"May 25, 2025",Northern Sector,HB GEN,,,0,0,0
"May 25, 2025",Northern Sector,HB Fuel Station,,,0,0,0
"May 25, 2025",Northern Sector,HH,,,0,0,0
"May 25, 2025",Northern Sector,HS,,,0,0,0
"May 25, 2025",Northern Sector,POS12 Fuel Station,,,0,0,0
"May 25, 2025",Northern Sector,POS12A GEN,,,0,0,0
"May 25, 2025",Central Section,POS10A,,,0,0,0
"May 25, 2025",Central Section,POS17A,,,0,0,0
"May 25, 2025",Central Section,POS 27 Fuel Station,,,0,0,0
"May 25, 2025",Central Section,POS27 Gen,,,0,0,0
"May 25, 2025",Central Section,POS32,,,0,0,0
"May 25, 2025",Central Section,POS37,,,0,0,0
"May 25, 2025",Central Section,POS60,,,0,0,0
"May 25, 2025",Western Section,CZ,,,0,0,0
"May 25, 2025",Western Section,POS22,,,0,0,0
"May 25, 2025",Western Section,C Gate GEN,,,0,0,0
"May 25, 2025",Western Section,C Gate Central Heating,,,0,0,0
"May 25, 2025",Southern Section,POS68,,,0,0,0
"May 25, 2025",Southern Section,POS80 GEN,,,0,0,0
"May 25, 2025",Southern Section,POS80 Fuel Station,,,0,0,0
"May 25, 2025",Southern Section,POS85,,,0,0,0
"May 25, 2025",Southern Section,POS86B,,,0,0,0
"May 25, 2025",UNDOF Vehicle Registration,2085,,,0,0,0
"May 25, 2025",UNDOF Vehicle Registration,2086,,,0,0,0
"May 25, 2025",UNDOF Vehicle Registration,2087,,,0,0,0
"May 25, 2025",UNDOF Vehicle Registration,4661,,,0,0,0
"May 25, 2025",UNDOF Vehicle Registration,4662,,,0,0,0
"May 25, 2025",UNDOF Vehicle Registration,4663,,,0,0,0
"May 25, 2025",UNDOF Vehicle Registration,4664,,,0,0,0
"May 25, 2025",UNDOF Vehicle Registration,4665,,,0,0,0
"May 26, 2025",Camp Faouar,CF Gen,"40,000","27,520","12,480","2,179",13
"May 26, 2025",Camp Faouar,CF Fuel Station,"100,000","63,049",786,36,"1,751"
"May 26, 2025",Camp Faouar,CF Supply Food Storage GEN (Backup) ,"1,000",587,413,0,0
"May 26, 2025",Camp Faouar,CF JOC GEN (Backup) ,"1,000",446,554,0,0
"May 26, 2025",Camp Faouar,CF CITS/Hospital GEN (Backup) ,"1,000",533,467,0,0
"May 26, 2025",Camp Faouar,CF Pentagon GEN (Backup) ,"1,000",565,435,0,0
"May 26, 2025",Camp Faouar,CF IK Kitchen GEN (Backup) ,"2,000","1,819",181,0,0
"May 26, 2025",Camp Faouar,Reserve VDP,"20,000","19,389",611,0,0
